subject,section,traial,leftButton,rightButton,answer,leftTouched,rightTouched
5,6,58,1.75,1,5,2,2
5,6,59,1.75,1.875,4,2,2
5,6,60,1.75,2,4,2,2
5,6,61,1.75,1.375,4,2,2
5,6,62,1.75,1.625,5,2,2
5,6,63,1.75,1.25,5,2,2
5,6,64,1.75,1.125,5,2,4
5,6,65,1.75,2.125,3,2,3
5,6,66,1.75,1.5,6,2,2
5,7,67,1,1,4,3,2
5,7,68,1,1.125,4,3,2
5,7,69,1,2,3,2,2
5,7,70,1,2.25,3,2,4
5,7,71,1,1.625,3,2,2
5,7,72,1,1.875,3,3,6
5,7,73,1,1.375,3,2,2
5,7,74,1,1.25,4,2,2
5,7,75,1,2.125,2,2,4
5,7,76,1,1.75,3,2,4
5,7,77,1,1.5,3,2,4
5,8,78,1.5,1.25,5,2,2
5,8,79,1.5,1.75,5,3,2
5,8,80,1.5,1.375,4,2,2
5,8,81,1.5,1,5,2,2
5,8,82,1.5,2.125,3,2,2
5,8,83,1.5,1.5,4,2,2
5,8,84,1.5,1.875,3,2,2
5,8,85,1.5,1.125,5,2,2
5,8,86,1.5,1.625,4,2,2
5,8,87,1.5,2,3,2,2
5,8,88,1.5,2.25,2,2,2
5,9,89,1.125,1.125,5,2,2
5,9,90,1.125,1.25,4,2,2
5,9,91,1.125,1.875,4,2,2
5,9,92,1.125,1.5,3,2,2
5,9,93,1.125,2.25,2,2,2
5,9,94,1.125,2.125,2,2,3
5,9,95,1.125,1.625,3,2,2
5,9,96,1.125,1.375,2,2,2
5,9,97,1.125,2,2,2,2
5,9,98,1.125,1.75,2,2,2
5,9,99,1.125,1,4,2,2
5,10,100,2.25,1.375,5,2,2
5,10,101,2.25,1.25,6,2,2
5,10,102,2.25,2.25,4,2,2
5,10,103,2.25,1.625,7,2,2
5,10,104,2.25,2,5,2,2
5,10,105,2.25,1.125,5,2,3
5,10,106,2.25,1.875,5,2,2
5,10,107,2.25,1.5,5,2,2
5,10,108,2.25,1,5,2,2
5,10,109,2.25,1.75,5,3,2
5,10,110,2.25,2.125,4,2,2
5,11,111,1.875,2.125,3,2,2
5,11,112,1.875,2.25,2,2,2
5,11,113,1.875,1.375,5,2,2
5,11,114,1.875,1.875,4,2,2
5,11,115,1.875,2,4,2,2
5,11,116,1.875,1.625,5,2,2
