subject,section,traial,Amount of deformation,answer1,answer2
6,5,63,60,1,5
6,5,64,76,1,5
6,5,65,93,1,5
6,6,66,0,2,5
6,6,67,18,4,2
6,6,68,35,1,5
6,6,69,52,1,5
6,6,70,68,1,5
6,6,71,85,1,5
6,6,72,100,1,5
6,6,73,93,1,5
6,6,74,76,1,5
6,6,75,60,1,5
6,6,76,43,1,5
6,6,77,26,2,4
6,6,78,10,4,3
6,7,79,100,1,5
6,7,80,93,1,5
6,7,81,85,1,5
6,7,82,76,1,5
6,7,83,68,1,5
6,7,84,60,1,5
6,7,85,52,1,5
6,7,86,43,2,5
6,7,87,35,2,5
6,7,88,26,4,4
6,7,89,18,4,4
6,7,90,10,5,4
6,7,91,0,3,4
6,8,92,0,4,5
6,8,93,52,1,5
6,8,94,10,5,1
6,8,95,60,1,5
6,8,96,18,4,4
6,8,97,68,1,5
6,8,98,26,3,4
6,8,99,76,1,5
6,8,100,35,2,5
6,8,101,85,1,5
6,8,102,43,1,5
6,8,103,93,1,5
6,8,104,100,1,5
6,9,105,0,4,3
6,9,106,52,1,5
6,9,107,10,5,2
6,9,108,60,1,5
6,9,109,18,5,2
6,9,110,68,1,5
6,9,111,26,2,4
6,9,112,76,1,5
6,9,113,35,2,5
6,9,114,85,1,5
6,9,115,43,1,5
6,9,116,93,1,5
